#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     303    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     304    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     305    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     306    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     307    0.967    0.033    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     308    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     309    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     310    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     311    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     312    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     313    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     314    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     315    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     316    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     317    0.968    0.032    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     318    0.969    0.031    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
