#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     265    0.226    0.687    0.000    0.000    0.000    0.000    0.000    0.083    0.004    0.000
     266    0.226    0.688    0.000    0.000    0.000    0.000    0.000    0.083    0.004    0.000
     267    0.225    0.689    0.000    0.000    0.000    0.000    0.000    0.082    0.004    0.000
     268    0.224    0.690    0.000    0.000    0.000    0.000    0.000    0.082    0.004    0.000
     269    0.223    0.691    0.000    0.000    0.000    0.000    0.000    0.082    0.004    0.000
     270    0.222    0.693    0.000    0.000    0.000    0.000    0.000    0.081    0.004    0.000
     271    0.221    0.694    0.000    0.000    0.000    0.000    0.000    0.081    0.004    0.000
     272    0.221    0.695    0.000    0.000    0.000    0.000    0.000    0.081    0.004    0.000
     273    0.220    0.696    0.000    0.000    0.000    0.000    0.000    0.081    0.004    0.000
     274    0.219    0.697    0.000    0.000    0.000    0.000    0.000    0.080    0.004    0.000
     275    0.218    0.698    0.000    0.000    0.000    0.000    0.000    0.080    0.004    0.000
     276    0.217    0.699    0.000    0.000    0.000    0.000    0.000    0.080    0.004    0.000
     277    0.217    0.700    0.000    0.000    0.000    0.000    0.000    0.079    0.004    0.000
     278    0.216    0.701    0.000    0.000    0.000    0.000    0.000    0.079    0.004    0.000
     279    0.215    0.703    0.000    0.000    0.000    0.000    0.000    0.079    0.004    0.000
     280    0.214    0.704    0.000    0.000    0.000    0.000    0.000    0.079    0.004    0.000
     281    0.214    0.705    0.000    0.000    0.000    0.000    0.000    0.078    0.004    0.000
     282    0.213    0.706    0.000    0.000    0.000    0.000    0.000    0.078    0.004    0.000
     283    0.212    0.707    0.000    0.000    0.000    0.000    0.000    0.078    0.004    0.000
     284    0.211    0.708    0.000    0.000    0.000    0.000    0.000    0.077    0.004    0.000
     285    0.211    0.709    0.000    0.000    0.000    0.000    0.000    0.077    0.004    0.000
     286    0.210    0.710    0.000    0.000    0.000    0.000    0.000    0.077    0.003    0.000
     287    0.209    0.711    0.000    0.000    0.000    0.000    0.000    0.077    0.003    0.000
     288    0.208    0.712    0.000    0.000    0.000    0.000    0.000    0.076    0.003    0.000
     289    0.208    0.713    0.000    0.000    0.000    0.000    0.000    0.076    0.003    0.000
     290    0.207    0.714    0.000    0.000    0.000    0.000    0.000    0.076    0.003    0.000
     291    0.206    0.715    0.000    0.000    0.000    0.000    0.000    0.076    0.003    0.000
     292    0.205    0.716    0.000    0.000    0.000    0.000    0.000    0.075    0.003    0.000
     293    0.205    0.717    0.000    0.000    0.000    0.000    0.000    0.075    0.003    0.000
     294    0.204    0.718    0.000    0.000    0.000    0.000    0.000    0.075    0.003    0.000
     295    0.203    0.719    0.000    0.000    0.000    0.000    0.000    0.075    0.003    0.000
     296    0.203    0.720    0.000    0.000    0.000    0.000    0.000    0.074    0.003    0.000
     297    0.202    0.721    0.000    0.000    0.000    0.000    0.000    0.074    0.003    0.000
     298    0.201    0.721    0.000    0.000    0.000    0.000    0.000    0.074    0.003    0.000
     299    0.201    0.722    0.000    0.000    0.000    0.000    0.000    0.074    0.003    0.000
     300    0.200    0.723    0.000    0.000    0.000    0.000    0.000    0.073    0.003    0.000
     301    0.199    0.724    0.000    0.000    0.000    0.000    0.000    0.073    0.003    0.000
     302    0.199    0.725    0.000    0.000    0.000    0.000    0.000    0.073    0.003    0.000
     303    0.198    0.726    0.000    0.000    0.000    0.000    0.000    0.073    0.003    0.000
     304    0.197    0.727    0.000    0.000    0.000    0.000    0.000    0.072    0.003    0.000
